2025-03-31 20:24:54.330 [main] INFO  org.example.Main - ASdasdasd
2025-03-31 20:24:54.332 [main] INFO  org.example.Main - Первый, второй, третий, четвертый, пятый
2025-03-31 20:29:25.401 [main] INFO  org.example.Main - ArrayList:
2025-03-31 20:29:25.404 [main] INFO  org.example.Main - Первый, второй, третий, четвертый, пятый
2025-03-31 20:29:25.404 [main] INFO  org.example.Main - LinkedList:
2025-03-31 20:29:25.405 [main] INFO  org.example.Main - Первый
2025-03-31 20:29:25.405 [main] INFO  org.example.Main - Второй
2025-03-31 20:29:25.405 [main] INFO  org.example.Main - Третий
2025-03-31 20:29:25.405 [main] INFO  org.example.Main - Четвертый
2025-03-31 20:29:25.405 [main] INFO  org.example.Main - Пятый
2025-03-31 20:30:39.675 [main] INFO  org.example.Main - ArrayList:
2025-03-31 20:30:39.677 [main] INFO  org.example.Main - Первый, второй, третий, четвертый, пятый
2025-03-31 20:30:39.677 [main] INFO  org.example.Main - Первый, второй, третий, четвертый, пятый
2025-03-31 20:30:39.678 [main] INFO  org.example.Main - //////////////
2025-03-31 20:30:39.678 [main] INFO  org.example.Main - LinkedList:
2025-03-31 20:30:39.678 [main] INFO  org.example.Main - Первый
2025-03-31 20:30:39.678 [main] INFO  org.example.Main - Второй
2025-03-31 20:30:39.678 [main] INFO  org.example.Main - Третий
2025-03-31 20:30:39.679 [main] INFO  org.example.Main - Четвертый
2025-03-31 20:30:39.679 [main] INFO  org.example.Main - Пятый
2025-03-31 20:30:39.679 [main] INFO  org.example.Main - Первый
2025-03-31 20:31:11.254 [main] INFO  org.example.Main - ArrayList:
2025-03-31 20:31:11.256 [main] INFO  org.example.Main - Первый, второй, третий, четвертый, пятый
2025-03-31 20:31:11.257 [main] INFO  org.example.Main - Первый элемент: Первый, второй, третий, четвертый, пятый
2025-03-31 20:31:11.257 [main] INFO  org.example.Main - //////////////
2025-03-31 20:31:11.257 [main] INFO  org.example.Main - LinkedList:
2025-03-31 20:31:11.257 [main] INFO  org.example.Main - Первый
2025-03-31 20:31:11.257 [main] INFO  org.example.Main - Второй
2025-03-31 20:31:11.258 [main] INFO  org.example.Main - Третий
2025-03-31 20:31:11.258 [main] INFO  org.example.Main - Четвертый
2025-03-31 20:31:11.258 [main] INFO  org.example.Main - Пятый
2025-03-31 20:31:11.258 [main] INFO  org.example.Main - Первый элемент: Первый
2025-03-31 20:32:15.256 [main] INFO  org.example.Main - ArrayList:
2025-03-31 20:32:15.258 [main] INFO  org.example.Main - Первый
2025-03-31 20:32:15.259 [main] INFO  org.example.Main - второй
2025-03-31 20:32:15.259 [main] INFO  org.example.Main - третий
2025-03-31 20:32:15.259 [main] INFO  org.example.Main - четвертый
2025-03-31 20:32:15.259 [main] INFO  org.example.Main - пятый
2025-03-31 20:32:15.259 [main] INFO  org.example.Main - Первый элемент: Первый
2025-03-31 20:32:15.260 [main] INFO  org.example.Main - //////////////
2025-03-31 20:32:15.260 [main] INFO  org.example.Main - LinkedList:
2025-03-31 20:32:15.260 [main] INFO  org.example.Main - Первый
2025-03-31 20:32:15.260 [main] INFO  org.example.Main - Второй
2025-03-31 20:32:15.260 [main] INFO  org.example.Main - Третий
2025-03-31 20:32:15.260 [main] INFO  org.example.Main - Четвертый
